name,species,age,health,hunger,happiness,energy,number,time,level,skills
Fluffy,cat,4,79.0,68.0,81.0,88.0,1,2,1,
Fin,fish,4,78.0,76,83,75,2,2,1,
Better,dog,3,62.666666666666664,62,100,26,3,4,1,
Greg,d,3,51.333333333333336,55,69,30,4,0,1,
pet,dog,5,13.333333333333336,0,100,0,5,16,2,Swim
other pet,spider,90,88.66666666666667,70,96,100,6,4,1,
third pet,fish,8,60.0,84,54,42,7,0,1,
Levi,lizard,900,52.0,67,38,51,8,0,1,
Joseph,fish,90000,100,100,100,100,9,2,1,
Joseph,fish,9000000000004,51.333333333333336,91,0,93,10,12,2,Climb
Joseph,fish,900000000000000000000000000,37.0,41,100,0,11,4,1,
